Airplane;Date;Dep-Code;Departure;Way;Des-Code;Dep-Time;Arr-Time;Day;Duration;Price;PriceEx;Date-of-bought;Stop
THY;1.06.2022;ESB;Ankara;IST;AYT;03:05;07:30;Aynı Gün;4s 25d;789;98;16.02.2022;2
THY;1.06.2022;ESB;Ankara;IST;GZT;03:05;08:15;Aynı Gün;5s 10d;909;98;16.02.2022;2
THY;1.06.2022;ESB;Ankara;Direkt;DLM;07:50;09:00;Aynı Gün;1s 10d;606;99;16.02.2022;1
THY;1.06.2022;ESB;Ankara;Direkt;IST;03:05;04:15;Aynı Gün;1s 10d;388;99;16.02.2022;1
THY;1.06.2022;ESB;Ankara;Direkt;IST;07:50;08:55;Aynı Gün;1s 5d;539;99;16.02.2022;1
THY;1.06.2022;ESB;Ankara;ADB;IST;07:55;11:50;Aynı Gün;3s 55d;1.187;99;16.02.2022;2
THY;1.06.2022;ESB;Ankara;IST;KYA;03:05;07:40;Aynı Gün;4s 35d;789;98;16.02.2022;2
THY;1.06.2022;ESB;Ankara;IST;KYA;12:50;19:50;Aynı Gün;7s;1.189;98;16.02.2022;2
THY;1.06.2022;ESB;Ankara;Direkt;ADB;07:55;09:15;Aynı Gün;1s 20d;606;99;16.02.2022;1
THY;1.06.2022;ESB;Ankara;Direkt;TZX;08:00;09:15;Aynı Gün;1s 15d;606;99;16.02.2022;1
THY;1.06.2022;ESB;Ankara;IST;TZX;03:05;07:40;Aynı Gün;4s 35d;1.029;98;16.02.2022;2
THY;1.06.2022;ESB;Ankara;IST;NAV;03:05;07:55;Aynı Gün;4s 50d;969;98;16.02.2022;2
THY;1.07.2022;ESB;Ankara;Direkt;AYT;07:50;09:00;Aynı Gün;1s 10d;606;99;16.02.2022;1
THY;1.07.2022;ESB;Ankara;IST;AYT;07:50;11:30;Aynı Gün;3s 40d;909;98;16.02.2022;2
THY;1.07.2022;ESB;Ankara;Direkt;GZT;23:55;01:05;Sonraki gün;1s 10d;606;99;16.02.2022;1
THY;1.07.2022;ESB;Ankara;IST;GZT;10:30;17:15;Aynı Gün;6s 45d;909;98;16.02.2022;2
THY;1.07.2022;ESB;Ankara;Direkt;DLM;07:55;09:10;Aynı Gün;1s 15d;606;99;16.02.2022;1
THY;1.07.2022;ESB;Ankara;IST;DLM;14:50;19:55;Aynı Gün;5s 5d;1.189;98;16.02.2022;2
THY;1.07.2022;ESB;Ankara;Direkt;IST;03:05;04:15;Aynı Gün;1s 10d;358;99;16.02.2022;1
THY;1.07.2022;ESB;Ankara;BJV;IST;08:00;11:50;Aynı Gün;3s 50d;1.187;99;16.02.2022;2
THY;1.07.2022;ESB;Ankara;AYT;IST;21:45;01:50;Sonraki gün;4s 5d;1.187;99;16.02.2022;2
THY;1.07.2022;ESB;Ankara;IST;KYA;03:05;07:40;Aynı Gün;4s 35d;1.189;98;16.02.2022;2
THY;1.07.2022;ESB;Ankara;Direkt;ADB;08:05;09:25;Aynı Gün;1s 20d;606;99;16.02.2022;1
THY;1.07.2022;ESB;Ankara;SAW;ADB;13:30;16:45;Aynı Gün;3s 15d;1.097;0;16.02.2022;2
THY;1.07.2022;ESB;Ankara;Direkt;TZX;07:15;08:30;Aynı Gün;1s 15d;606;99;16.02.2022;1
THY;1.07.2022;ESB;Ankara;IST;TZX;04:25;10:15;Aynı Gün;5s 50d;1.189;98;16.02.2022;2
THY;1.07.2022;ESB;Ankara;IST;NAV;03:05;07:55;Aynı Gün;4s 50d;1.029;98;16.02.2022;2
THY;1.08.2022;ESB;Ankara;Direkt;AYT;07:15;08:25;Aynı Gün;1s 10d;606;99;16.02.2022;1
THY;1.08.2022;ESB;Ankara;IST;AYT;03:05;07:30;Aynı Gün;4s 25d;1.029;98;16.02.2022;2
THY;1.08.2022;ESB;Ankara;IST;AYT;10:30;13:40;Aynı Gün;3s 10d;969;98;16.02.2022;2
THY;1.08.2022;ESB;Ankara;Direkt;GZT;08:05;09:15;Aynı Gün;1s 10d;606;99;16.02.2022;1
THY;1.08.2022;ESB;Ankara;Direkt;GZT;23:55;01:05;Sonraki gün;1s 10d;606;99;16.02.2022;1
THY;1.08.2022;ESB;Ankara;Direkt;DLM;07:55;09:10;Aynı Gün;1s 15d;606;99;16.02.2022;1
THY;1.08.2022;ESB;Ankara;IST;DLM;11:50;17:30;Aynı Gün;5s 40d;1.189;98;16.02.2022;2
THY;1.08.2022;ESB;Ankara;Direkt;IST;03:05;04:15;Aynı Gün;1s 10d;539;99;16.02.2022;1
THY;1.08.2022;ESB;Ankara;TZX;IST;06:45;10:20;Aynı Gün;3s 35d;1.186;24;16.02.2022;2
THY;1.08.2022;ESB;Ankara;AYT;IST;20:10;23:25;Aynı Gün;3s 15d;1.187;99;16.02.2022;2
THY;1.08.2022;ESB;Ankara;IST;KYA;03:05;07:40;Aynı Gün;4s 35d;1.029;98;16.02.2022;2
THY;1.08.2022;ESB;Ankara;SAW;KYA;14:30;19:55;Aynı Gün;5s 25d;1.097;0;16.02.2022;2
THY;1.08.2022;ESB;Ankara;SAW;KYA;18:10;00:15;Sonraki gün;6s 5d;1.097;0;16.02.2022;2
THY;1.08.2022;ESB;Ankara;Direkt;ADB;07:55;09:15;Aynı Gün;1s 20d;606;99;16.02.2022;1
THY;1.08.2022;ESB;Ankara;Direkt;ADB;18:20;19:35;Aynı Gün;1s 15d;606;99;16.02.2022;1
THY;1.08.2022;ESB;Ankara;Direkt;ADB;23:55;01:10;Sonraki gün;1s 15d;606;99;16.02.2022;1
THY;1.08.2022;ESB;Ankara;Direkt;TZX;06:45;08:00;Aynı Gün;1s 15d;606;99;16.02.2022;1
THY;1.08.2022;ESB;Ankara;Direkt;TZX;19:55;21:10;Aynı Gün;1s 15d;606;99;16.02.2022;1
THY;1.08.2022;ESB;Ankara;IST;NAV;03:05;07:55;Aynı Gün;4s 50d;1.029;98;16.02.2022;2
THY;1.08.2022;ESB;Ankara;SAW IST;NAV;07:00;14:30;Aynı Gün;7s 30d;1.212;99;16.02.2022;25
THY;1.06.2022;ADA;Adana;IST;AYT;03:25;07:30;Aynı Gün;4s 5d;763;23;16.02.2022;2
THY;1.06.2022;ADA;Adana;IST;AYT;08:40;13:40;Aynı Gün;5s;883;23;16.02.2022;2
THY;1.06.2022;ADA;Adana;IST;GZT;03:25;08:15;Aynı Gün;4s 50d;878;48;16.02.2022;2
THY;1.06.2022;ADA;Adana;IST;DLM;03:25;08:00;Aynı Gün;4s 35d;803;23;16.02.2022;2
THY;1.06.2022;ADA;Adana;Direkt;IST;03:25;05:05;Aynı Gün;1s 40d;411;49;16.02.2022;1
THY;1.06.2022;ADA;Adana;Direkt;IST;06:15;07:55;Aynı Gün;1s 40d;441;49;16.02.2022;1
THY;1.06.2022;ADA;Adana;Direkt;IST;11:55;13:35;Aynı Gün;1s 40d;441;49;16.02.2022;1
THY;1.06.2022;ADA;Adana;Direkt;IST;23:25;01:05;Sonraki gün;1s 40d;411;49;16.02.2022;1
THY;1.06.2022;ADA;Adana;IST;KYA;03:25;07:40;Aynı Gün;4s 15d;763;23;16.02.2022;2
